"","ID","AGE","GEN","EXP","ANT","OCB","FRCC","RBSE"
"435",435,31,0,6,3,3,13,3
"436",436,33,1,10,10,3.66666666666667,15,4.2
"437",437,45,0,14,14,5,19,4.4
"438",438,39,0,15,14,3.66666666666667,14,4
"439",439,58,0,39,39,4.33333333333333,15,5
"440",440,35,0,8,8,5,16,5
"441",441,64,0,41,1,5,17,5
"442",442,44,0,27,27,4,13,4
"443",443,41,1,15,12,3.5,10,4
"444",444,49,0,25,17,4.33333333333333,14,3.8
"445",445,43,0,5,1.2,4,16,5
"446",446,50,0,30,30,3.33333333333333,10,2.6
"447",447,38,1,14,5,3.5,10,4.8
"448",448,26,0,3,2,3.83333333333333,17,4.8
"449",449,56,1,30,11,5,16,5
"450",450,25,1,1,0,2.83333333333333,12,4
"451",451,33,0,10,5,4.66666666666667,20,4.8
"452",452,60,1,10,10,4,13,3.8
"453",453,37,0,10,5,3.5,14,3.6
"454",454,37,1,11,9,3.66666666666667,15,3.6
"455",455,42,1,12,5,3.83333333333333,14,4
"456",456,44,1,20,16,3.66666666666667,12,4.2
"457",457,27,0,4,4,4,13,4.2
"458",458,58,0,25,10,5,20,5
"459",459,58,0,25,10,5,20,5
"460",460,49,0,32,28,5,16,5
"461",461,38,0,15,5,3.33333333333333,11,5
"462",462,30,0,3,3,3.33333333333333,10,3.4
"463",463,44,1,14,11,3.5,11,4
"464",464,44,1,15,11,4.33333333333333,16,4
"465",465,36,0,10,10,3,12,3
"466",466,45,0,25,20,3.33333333333333,11,4.8
"467",467,36,1,18,9,3,11,3.8
"468",468,48,1,20,10,3.5,13,3.8
"469",469,48,0,19,19,3.5,15,3.8
"470",470,30,0,8,2,4.66666666666667,14,4.2
"471",471,46,0,20,5,4.16666666666667,13,4.2
"472",472,35,1,20,11,3.5,14,2.8
"473",473,35,1,6,4,3.83333333333333,13,3.6
"474",474,33,0,9,4,3,11,3.6
"475",475,59,0,30,30,4.5,16,4.8
"476",476,28,0,6,2,3.16666666666667,8,3
"477",477,34,0,11,3,3,12,3
"478",478,30,1,5,1.5,4.33333333333333,15,5
"479",479,44,1,20,20,3,12,3
"480",480,51,0,10,5,1.66666666666667,11,2
"481",481,31,0,10,5,4,10,3
"482",482,26,1,2,1,3.66666666666667,15,3.8
"483",483,32,0,15,13,2.16666666666667,9,2.4
"484",484,64,0,39,3,3.16666666666667,12,4.2
"485",485,32,1,7,1,2.5,14,4.2
"486",486,60,1,12,2,5,15,4.6
"487",487,60,1,12,2,5,15,4.6
"488",488,45,0,30,10,3.83333333333333,15,3.2
"489",489,42,1,17,17,5,20,5
"490",490,38,0,18,5,4,15,5
"491",491,34,0,8,8,3.5,11,4.6
"492",492,35,1,12,12,3.66666666666667,13,4.2
"493",493,39,1,16,2,4.66666666666667,15,4.2
"494",494,30,0,6,2,5,20,5
"495",495,25,0,3,3,3,12,3
"496",496,30,0,14,3,3.33333333333333,12,4.6
"497",497,36,0,9,8,3.83333333333333,14,4.8
"498",498,36,0,15,10,3.83333333333333,14,3.6
"499",499,40,0,17,17,4.83333333333333,16,5
"500",500,41,1,10,2,5,20,4.8
"501",501,30,1,9,6,4,16,5
"502",502,42,1,21,4,2.83333333333333,9,4.4
"503",503,38,1,16,11,3.83333333333333,15,3.6
"504",504,32,0,11,4,2.5,8,2.2
"505",505,35,1,13,5,4,13,3.8
"506",506,38,0,12,3,1,6,5
"507",507,37,1,11,7,3.66666666666667,15,4.8
"508",508,38,0,13,6,3.16666666666667,12,3.6
"509",509,37,1,11,2,3.66666666666667,14,4
"510",510,35,1,10,4,2.33333333333333,12,3.2
"511",511,60,1,30,20,4.5,16,4
"512",512,52,0,28,6,4.33333333333333,13,4.8
"513",513,41,0,11,11,4,16,4
"514",514,50,0,22,21,4,14,5
"515",515,45,1,21,21,3.66666666666667,12,3.6
"516",516,30,0,5,5,3,14,3.8
"517",517,40,1,9,7,2.33333333333333,10,3.2
"518",518,48,0,20,1,4.16666666666667,9,3.8
"519",519,32,1,6,2,4,16,3.6
"520",520,29,1,5,5,4,16,4.6
"521",521,31,1,5,3,3.66666666666667,14,4.6
"522",522,35,0,8,4,4.5,14,4.8
"523",523,42,1,15,10,4.66666666666667,20,4.8
"524",524,39,1,12,4,3,12,3
"525",525,37,0,13,10,3.5,6,5
"526",526,28,0,2,1.5,4,13,4.8
"527",527,35,1,10,3,3.66666666666667,15,3.8
"528",528,26,1,7,7,5,10,5
"529",529,45,0,20,18,3.83333333333333,16,4.6
"530",530,32,1,8,6,3,12,3
"531",531,40,1,12,10,4.33333333333333,16,3.6
"532",532,26,0,8,1,3.83333333333333,12,4
"533",533,39,0,14,12,5,18,4
"534",534,45,1,21,21,5,16,4.6
"535",535,39,0,14,12,5,18,4
"536",536,37,0,12,2,4.66666666666667,15,4.6
"537",537,35,1,10,4,4.66666666666667,14,5
"538",538,32,1,11,1,3.16666666666667,10,4
"539",539,35,1,12,8,2,5,4.2
"540",540,25,1,2.5,0.7,3.83333333333333,13,3.4
"541",541,36,1,2,1,4,16,4
"542",542,40,1,10,1,4,13,3.4
"543",543,42,1,15,13,2.33333333333333,9,2.4
"544",544,27,1,4,4,3.33333333333333,13,4.6
"545",545,35,1,3,0,3.83333333333333,18,5
"546",546,38,1,10,7,3.16666666666667,12,3.4
"547",547,51,1,25,2,3.83333333333333,14,4.6
"548",548,45,1,23,23,4.83333333333333,14,5
"549",549,27,1,3,3,4,10,2.6
"550",550,32,1,5,5,3.66666666666667,12,4.2
"551",551,39,1,20,15,5,13,5
"552",552,53,1,20,5,4.16666666666667,13,5
"553",553,39,0,3,3,3.16666666666667,14,3.4
"554",554,49,1,25,25,4.33333333333333,13,4.4
"555",555,52,1,37,20,5,16,5
"556",556,35,1,5,1,3.66666666666667,12,4.8
"557",557,29,0,2,2,5,20,5
"558",558,31,1,7,3,4.33333333333333,10,5
"559",559,30,0,5,5,3.83333333333333,12,4
"560",560,34,1,4,2,4,11,4.2
"561",561,45,0,25,4,3,14,3.6
"562",562,34,1,12,5,2.5,10,4
"563",563,36,0,7,7,3.66666666666667,11,4.4
"564",564,34,0,14,2,3.66666666666667,16,4.6
"565",565,57,1,35,5,4.66666666666667,14,4.8
"566",566,40,1,17,14,3.33333333333333,14,4.8
"567",567,57,1,33,29,4,16,4
"568",568,42,0,15,15,4.33333333333333,15,4
"569",569,44,0,25,20,3.33333333333333,17,4.4
"570",570,49,1,25,24,4.66666666666667,16,5
"571",571,45,1,25,30,3.5,14,4
"572",572,26,1,6,1,5,15,4.4
"573",573,26,0,2,2,4.16666666666667,13,4.6
"574",574,37,0,8,5,3,12,3.6
"575",575,25,1,2,2,3,12,3.8
"576",576,34,0,8,7,3.33333333333333,13,3.4
"577",577,29,1,6,6,3.83333333333333,9,5
"578",578,50,0,22,22,3.16666666666667,12,4
"579",579,47,1,7,0,3.66666666666667,11,4
"580",580,48,1,25,20,5,20,5
"581",581,32,1,5,1,3,12,3
"582",582,50,1,27,27,5,20,4.4
"583",583,28,1,2,2,3,4,3.4
"584",584,35,0,12,7,4.66666666666667,15,5
"585",585,36,0,12,12,4,16,5
"586",586,57,0,30,8,1,4,1
"587",587,52,0,25,20,4.66666666666667,20,5
"588",588,40,0,18,1,2.66666666666667,14,3.8
"589",589,32,1,11,1,3.33333333333333,14,4
"590",590,57,0,30,33,3.83333333333333,18,4
"591",591,25,1,5,1,3.66666666666667,11,4.8
"592",592,60,0,35,33,3.83333333333333,13,3.8
"593",593,44,0,20,12,3.83333333333333,15,4
"594",594,27,1,2,2,3,9,4
"595",595,36,0,10,7,4.33333333333333,11,5
"596",596,33,0,8,5,5,16,5
"597",597,52,0,28,5,3.66666666666667,16,5
"598",598,25,1,1,1,4,16,4.4
"599",599,52,1,23,12,3.66666666666667,14,5
"600",600,26,1,5,1,1.83333333333333,14,4.2
"601",601,56,0,29,24,2.83333333333333,9,5
"602",602,29,1,6,5,3.33333333333333,16,4.2
