id,edad,sexo,exp,ant,empr,sup,doc,form,pi01,pi02,pi03,pi04,pi05,pi06,pi07,pi08,pi09,pi10,pc01,pc02,pc03,pc04,pc05,pc06,pc07,pc08,pre01,pre02,pre03,pre04,pre05,pre06,pro01,pro02,pro03,pro04,pro05,pro06,ac01,ac02,ac03,ac04,ac05,ac06,cch01,cch02,cch03,cch04,cch05,cch06,ccl01,ccl02,ccl03,nc01,nc02,nc03,nc04,nc05,nc06
80,55,1,30,20,5,0,0,0,7,5,6,7,7,7,7,7,7,7,6,2,1,4,3,3,4,4,6,6,6,6,6,6,6,6,4,5,6,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,2,3,3,3,5,4
81,41,1,21,20,4,0,0,0,7,5,5,7,5,7,5,3,6,7,5,1,1,6,6,3,1,1,4,7,7,7,7,7,6,6,3,3,7,3,7,1,1,1,4,4,7,4,6,7,1,7,7,4,4,1,2,1,1,1,1
82,25,0,3,3,2,0,0,0,2,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,1,3,4,5,6,6,3,4,4,4,3,4,3,4,4,3,3,4,5,5,5
83,34,1,12,6,2,1,0,0,6,6,6,7,7,6,7,6,6,6,7,6,6,6,6,7,6,6,6,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,4,6,6,6,6,7,6
84,36,0,9,9,4,1,0,0,6,5,5,6,5,4,5,6,6,5,6,5,5,6,4,6,5,5,6,6,6,6,6,5,5,5,4,6,6,5,3,4,5,5,4,4,4,5,4,4,4,4,6,5,5,2,4,3,3,3,6
85,34,1,10,4,3,0,1,1,6,5,5,5,6,5,5,4,5,4,6,5,4,4,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,4,5,4,4,5,5,4,4,5,4,4,5,4,6,6,4,4,5,6,5,4,4
86,28,0,11,3,5,0,1,1,7,6,6,5,6,6,6,6,6,6,6,6,7,6,6,3,3,6,6,6,6,6,6,7,7,7,7,6,6,6,5,3,5,3,3,3,5,5,3,3,5,5,6,5,5,5,5,5,5,6,5
87,30,0,13,3,7,1,0,0,7,7,7,7,6,5,5,5,5,6,7,4,4,6,5,5,3,5,7,7,7,7,7,7,6,4,4,6,7,7,5,4,4,3,3,3,7,2,4,3,5,3,7,5,5,1,4,3,3,2,1
88,44,1,20,20,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5
89,36,0,10,4,3,1,0,0,5,5,5,6,5,4,5,6,5,5,5,5,6,6,5,5,5,5,5,5,4,5,6,6,5,5,5,5,5,5,5,6,5,4,5,5,5,6,5,5,5,4,4,4,4,4,3,4,5,4,4
90,40,0,13,13,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
91,43,0,18,7,7,1,0,0,7,7,7,7,7,6,4,5,5,7,5,5,4,5,5,5,5,5,5,7,7,7,7,7,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,5,5
92,47,0,25,7,3,1,0,0,6,7,7,4,7,4,5,5,5,5,6,5,3,5,3,3,3,2,6,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6
93,35,0,7,7,1,1,0,0,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1,7,1,7,7,7,7,7,7
94,47,0,18,5,4,1,0,0,7,6,7,7,7,7,5,5,7,5,5,5,6,5,5,5,4,3,7,6,6,7,7,5,6,4,3,2,6,2,6,6,6,4,5,6,5,6,6,6,6,6,1,2,1,5,5,4,4,7,6
95,31,0,4,3,6,1,0,0,7,4,6,6,7,2,4,6,4,4,2,2,4,5,2,7,3,5,6,7,6,6,6,6,7,1,1,5,2,2,1,1,1,1,1,1,3,1,1,1,1,1,3,2,2,2,1,1,1,1,1
96,34,1,10,3,3,1,0,0,6,6,7,6,6,5,5,7,5,7,3,2,1,5,4,2,1,6,5,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1,2,1,4,4,4,4,6,6
97,37,1,3,10,5,0,0,1,4,4,5,5,5,4,3,4,5,5,4,3,3,4,4,4,5,3,4,5,5,5,5,5,4,4,4,4,5,4,4,3,3,3,3,3,4,5,4,4,5,4,4,4,3,3,3,3,1,3,3
98,56,0,26,21,5,1,0,0,6,4,5,6,7,7,5,7,7,6,5,5,6,6,6,7,5,5,6,6,6,7,7,6,7,7,6,6,7,7,6,5,6,4,3,6,7,7,7,6,7,5,5,5,3,7,7,7,6,3,5
99,34,0,8,8,1,1,0,1,6,3,4,4,4,2,2,3,4,4,5,2,2,5,4,5,3,5,7,7,6,6,6,6,4,5,3,5,7,3,2,1,1,1,1,1,3,5,4,5,6,6,6,6,7,1,1,1,1,1,2
